City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,guerrero negro,27.9769,-114.0611,293.7,42,0,1.77,MX,1700667947
222,tchibanga,-2.85,11.0333,298.34,92,73,2.12,GA,1700668102
223,behompy,-23.2496,43.8557,299.59,68,0,2.24,MG,1700668103
224,paracuru,-3.41,-39.0306,302.1,53,13,7.11,BR,1700668104
225,hirara,24.8,125.2833,293.07,88,20,2.06,JP,1700668105
226,kourou,5.1552,-52.6478,305.18,62,20,4.73,GF,1700668106
227,daru,-9.0763,143.2092,299.36,89,40,4.44,PG,1700668106
228,baragua,21.6967,-78.6328,302.92,56,13,4.9,CU,1700668107
229,ulsteinvik,62.3432,5.8487,280.55,82,99,8.49,NO,1700668108
230,kannod,22.6667,76.7333,294.42,46,0,1.82,IN,1700668109
231,goundam,16.4145,-3.6708,306.43,10,97,3.33,ML,1700668109
232,umea,63.8284,20.2597,273.66,100,100,7.2,SE,1700668100
233,rongelap,11.1635,166.8941,300.72,69,30,7.69,MH,1700668111
234,lepsy,46.235,78.9456,279.7,47,35,2.66,KZ,1700668112
235,karoi,-16.8099,29.6925,299.69,46,33,1.95,ZW,1700668113
236,vadso,70.0744,29.7487,266.24,79,75,9.77,NO,1700668114
237,medicine hat,50.0501,-110.6683,273.39,62,100,0.0,CA,1700667993
238,leava,-14.3,-178.1667,301.1,74,56,7.09,WF,1700668116
239,tchollire,8.4022,14.1698,305.12,25,90,0.12,CM,1700668117
240,meadow lake,34.8014,-106.5436,281.72,50,1,2.32,US,1700668118
241,sour el ghozlane,36.1477,3.6912,280.65,82,98,11.52,DZ,1700668119
242,guaratuba,-25.8828,-48.5747,302.16,79,61,2.79,BR,1700668119
243,tazovsky,67.4667,78.7,246.98,100,94,3.92,RU,1700668120
244,dalnegorsk,44.5604,135.5701,277.37,99,100,0.89,RU,1700668121
245,maitum,6.0392,124.4986,299.45,87,14,1.76,PH,1700668122
246,ramadi,33.4226,43.3058,289.2,35,95,2.58,IQ,1700668123
247,mogocha,53.7333,119.7667,253.81,89,98,1.52,RU,1700668123
248,new norfolk,-42.7826,147.0587,282.87,96,4,1.09,AU,1700668124
249,tinajo,29.0788,-13.7081,296.64,57,20,6.17,ES,1700668125
250,samdari,25.8167,72.5833,295.6,22,0,1.23,IN,1700668127
251,progreso,21.2833,-89.6667,302.1,64,11,4.35,MX,1700668128
252,sao vicente,-23.9631,-46.3919,308.86,66,0,4.63,BR,1700668128
253,kerikeri,-35.2268,173.9474,289.21,92,80,1.9,NZ,1700668129
